review,rating,date,bank,source,sentiment,keywords
v.good app,4,2025-06-09,CBE,Google Play,0.0,['good']
very good app,1,2025-06-09,CBE,Google Play,0.9099999999999999,['good']
Very amazing app indeed. I'm enjoying it,5,2025-06-08,CBE,Google Play,0.6400000000000001,"['amazing', 'indeed', 'enjoying']"
Best,5,2025-06-08,CBE,Google Play,1.0,['best']
20 years,5,2025-06-08,CBE,Google Play,0.0,['years']
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,0.8,"['great', 'carrying', 'pocket']"
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,0.5,['garrantty']
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,0.8,"['really', 'happy', 'siple', 'everything']"
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,0.06666666666666665,"['liked', 'user', 'interface', 'basic', 'attractive']"
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,-0.125,"['atms', 'support', 'account', 'account', 'transfers', 'countries', 'kenya', 'nigeria', 'south', 'africa']"
what is this app problem???,1,2025-06-05,CBE,Google Play,0.0,['problem']
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,0.7,"['proactive', 'good', 'connections']"
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,0.0,"['cannot', 'send', 'cbebirr', 'through']"
good,4,2025-06-05,CBE,Google Play,0.7,['good']
not functional,1,2025-06-05,CBE,Google Play,0.0,['functional']
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,0.23416666666666666,"['everytime', 'uninstall', 'reach', 'physically', 'oldy', 'security', 'layer', 'check', 'fraud', 'attempt', 'source', 'directly', 'source', 'store', 'play', 'store', 'implicitly', '2025', 'physical', 'presence', 'every', 'install', 'traditional', 'traditionally', 'rare']"
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,0.0,"['አካውንት', 'የምናስገባበት', 'የላክንባቸውን', 'አካዉንቶች', 'የምንፈልገዉ', 'አካውንቶች', 'የሚጀምሩ', 'በዝተዋል', 'አፕልኬሽኑ', 'space', 'ስንጽፍ', 'አይቀበልም', 'ቢስተካከል']"
best,5,2025-06-04,CBE,Google Play,1.0,['best']
bezabih,5,2025-06-04,CBE,Google Play,0.0,['bezabih']
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,1.0,"['best', 'mobile', 'banking', 'ever']"
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,0.4928571428571428,"['good', 'issues', 'doesnt', 'give', 'right', 'amount', 'issues', 'transferring']"
Good,5,2025-06-04,CBE,Google Play,0.7,['good']
👌👍,5,2025-06-04,CBE,Google Play,0.0,[]
